Category,Round
RECORD ALBUMS,Jeopardy!
SLAVERY,Jeopardy!
"""CHAIN""S",Jeopardy!
ARTISTS ON FILM,Jeopardy!
FOR YOUR REFERENCE,Jeopardy!
"""AL""-X",Jeopardy!
GODLY RHYME TIME,Double Jeopardy!
SOMETHING ABOUT MARY,Double Jeopardy!
JERSEY TV,Double Jeopardy!
ALL HAT,Double Jeopardy!
NO CATTLE,Double Jeopardy!
REMEMBERING U.S. HISTORY,Final Jeopardy!
TRENDS,Jeopardy!
SALUTE THE FLAG,Double Jeopardy!
ON THEIR PERMANENT RECORDS,Double Jeopardy!
DISNEY MOVIES,Double Jeopardy!
"GIVE ME AN ""A""!",Double Jeopardy!
FRENCH ARTISTS,Jeopardy!
THE NEW YORK TIMES 2008 NEWS,Jeopardy!
BREED 'EM,Jeopardy!
"& W""EEP""",Jeopardy!
BRITISH PHYSICISTS,Double Jeopardy!
"I WON AN OSCAR, EMMY, TONY & GRAMMY",Double Jeopardy!
CZAR POWER,Double Jeopardy!
"""CH""ECK THE NAME",Double Jeopardy!
ADJECTIVES,Final Jeopardy!
"DR. SEUSS, REWRITE MAN",Jeopardy!
KIDS,Jeopardy!
HAIR CARE HISTORY,Jeopardy!
COLOR FILMS,Jeopardy!
PICKUP LINES,Jeopardy!
"""CROSS"" WORD CLUES",Double Jeopardy!
ANN-A-GRAMS,Double Jeopardy!
PO-POURRI,Double Jeopardy!
JEOPARDY PLACES,Double Jeopardy!
POTENT PORTABLES,Double Jeopardy!
MOUNTAINS IN RANGE,Jeopardy!
CREATURE FEATURES,Jeopardy!
"AT THE POD ""IUM""",Jeopardy!
MIXING APPLES & ORANGES,Jeopardy!
THE TENTH INNING,Jeopardy!
A PALACE IN HISTORY,Double Jeopardy!
RIDING THE RAILS,Double Jeopardy!
MONKEY BUSINESS,Double Jeopardy!
PRIMETIME TV,Final Jeopardy!
YESTERDAY,Jeopardy!
MICHELLE,Jeopardy!
PAPERBACK WRITERS,Jeopardy!
"""P.S."" I LOVE YOU",Jeopardy!
MEET THE BEETLES,Jeopardy!
ODDS 'N' ENDS,Double Jeopardy!
THE JOHNSONS,Double Jeopardy!
TV FINAL EPISODES,Double Jeopardy!
POETS' CORNER,Final Jeopardy!
"MOVIE ""NIGHT""",Jeopardy!
BRITISH VS. AMERICAN AUTO TERMINOLOGY,Jeopardy!
SNAKES,Jeopardy!
ON THE CUTTING EDGE,Jeopardy!
STARTS & ENDS WITH THE SAME LETTER,Jeopardy!
ANAGRAMMED CANADIAN CITIES,Double Jeopardy!
"IT'S ALL ABOUT ""U""",Double Jeopardy!
U.S. AGRICULTURE,Final Jeopardy!
THE GOLDEN GLOBE AWARDS,Jeopardy!
FAMOUS AUSTRIANS,Jeopardy!
WORST OF THE FIRSTS,Jeopardy!
5 LETTER WORDS,Jeopardy!
CHARACTER ACTORS,Double Jeopardy!
CLINICALLY DEPRESSED,Double Jeopardy!
INVENTIVE WOMEN,Jeopardy!
DISNEY FILM CHARACTERS,Jeopardy!
THE REGINA MONOLOGUES,Jeopardy!
FASHION ACCESSORIES,Jeopardy!
"COOK UP SOME ""STU""",Jeopardy!
THEY'RE SPORTY,Double Jeopardy!
SOMEDAY MY PRINCE WILL COME,Double Jeopardy!
THE INC. SPOTS,Double Jeopardy!
HANNA-BARBERA DOGS,Jeopardy!
"""Y"" NOT",Jeopardy!
1492,Double Jeopardy!
JOHN WAYNE FILMS,Double Jeopardy!
THE LYNDON JOHNSON YEARS,Jeopardy!
RECOGNIZING REPTILES,Jeopardy!
SONGS BY THE NUMBER,Jeopardy!
CAMPBELL SOUP,Jeopardy!
PARENT COMPANIES,Double Jeopardy!
5 DECADES OF TV,Double Jeopardy!
CAMPBELL SOUP,Double Jeopardy!
STATE MOTTOES,Final Jeopardy!
ASIA,Jeopardy!
DJIA STOCKS,Jeopardy!
NATURALISTS,Double Jeopardy!
U.S. CITY NAME ORIGINS,Final Jeopardy!
METROPOLITAN SOBRIQUETS,Jeopardy!
P.T. BARNUM,Jeopardy!
"LEADER OF THE ""PACK""",Jeopardy!
INTERNATIONAL THRILLER,Double Jeopardy!
"""WALK"" INTO THE TOP 40",Double Jeopardy!
GOD SAVE THE QUEEN,Double Jeopardy!
FRENCH SAUCES,Double Jeopardy!
TRUMAN CAPOTE,Jeopardy!
BREAKFAST,Jeopardy!
AT TIFFANY'S,Jeopardy!
"""IN""",Jeopardy!
COLD,Jeopardy!
CELEBRITY SIBLINGS,Double Jeopardy!
I KNOW YOU FROM SOMEWHERE,Double Jeopardy!
LET'S RUN IT UP THE FLAGPOLE,Double Jeopardy!
FOLK MUSIC,Jeopardy!
HATS,Jeopardy!
HOTEL NAMES,Double Jeopardy!
JOE RANFT: PIXAR LEGEND,Jeopardy!
RADCLIFFE GRADS,Jeopardy!
ANAGRAMMED SHAKESPEARE PLAYS,Jeopardy!
OTHER POWER RANGERS,Jeopardy!
THE LIFE OF THE SEA,Double Jeopardy!
SARAH-DIPITY,Double Jeopardy!
MORTAL MATTERS,Double Jeopardy!
SAN ANTONIO,Double Jeopardy!
"REMEMBER THE A LA ""MODE""",Double Jeopardy!
ENTERTAINERS OF THE '60s,Final Jeopardy!
CELEBRITY CARDS,Jeopardy!
ANAGRAMMED SHAKESPEARE CHARACTERS,Jeopardy!
HAMMER TIME,Jeopardy!
U CAN'T TOUCH THIS,Jeopardy!
PITCHING THE PERFECT GAME,Double Jeopardy!
FRUIT BOWL,Double Jeopardy!
URBAN DICTIONARY,Double Jeopardy!
INSIDE A B-17,Double Jeopardy!
1989 NO. 1 HITS,Final Jeopardy!
ON THE PHONE,Jeopardy!
POTLUCK,Jeopardy!
HOLIDAY HISTORY,Double Jeopardy!
2001: A CATEGORY ODYSSEY,Double Jeopardy!
"OH, NURSE!",Double Jeopardy!
"""POT"" LUCK",Double Jeopardy!
THE SECRET SERVICE,Final Jeopardy!
THIS IS OUR COUNTRY,Jeopardy!
PUBLIC HISTORY,Jeopardy!
NEWSPAPER NAMES,Jeopardy!
SWEDE TALK,Double Jeopardy!
'90s MUSIC,Double Jeopardy!
SHOCKING!,Double Jeopardy!
GEOGRAPHIC WORDPLAY,Final Jeopardy!
WHAT A DICTATOR,Jeopardy!
FROM SCREEN TO STAGE,Jeopardy!
MEXICAN FOOD FROM THE LITTLE DINER,Jeopardy!
YOU'RE AN ANIMAL,Jeopardy!
"DRINK IT, DANCE IT OR DRIVE IT",Jeopardy!
"GOOD ""BY""",Jeopardy!
FIREARMS IN SHOW BIZ,Double Jeopardy!
STORY LINE,Double Jeopardy!
WHICH U.S. CABINET DEPARTMENT?,Double Jeopardy!
WAR CORRESPONDENTS,Double Jeopardy!
"THE ""S""-NCE OF LIFE",Double Jeopardy!
THE QUOTABLE NIXON,Jeopardy!
BIG SCREEN TITLE ROLES,Jeopardy!
TULIPS,Jeopardy!
ONE KNOWS,Jeopardy!
"A PAIR OF ""I""s",Jeopardy!
SURVEY SAYS,Final Jeopardy!
TOURING USA,Jeopardy!
THE CW,Jeopardy!
"""TEXT"" ME",Jeopardy!
BALL GAMES,Double Jeopardy!
TREES!,Double Jeopardy!
"OH, WHAT A KNIGHT",Double Jeopardy!
LYRICISTS,Jeopardy!
JUST LOGOS,Jeopardy!
"LET'S TALK ""DIRTY""",Jeopardy!
ODDS,Jeopardy!
ENDS,Jeopardy!
A TRIP TO LITERARY BRITAIN,Double Jeopardy!
"MOVIES: BEEN THERE, DONE THAT",Double Jeopardy!
NOTABLE AMERICANS,Double Jeopardy!
BODY PART HOMONYMS,Double Jeopardy!
ANIMALS OF THE NEW WORLD,Final Jeopardy!
MAKES SENSE,Jeopardy!
EDIBLE COMMON BONDS,Jeopardy!
HOUSES OF THE HOLY,Jeopardy!
LEAD,Jeopardy!
ZEPPELIN,Jeopardy!
2007 NEWS,Double Jeopardy!
GONE VISION,Double Jeopardy!
WE HAVE MET THE ANIME,Double Jeopardy!
"THEY ARE ""US""",Double Jeopardy!
COLLEGE FILMS,Jeopardy!
SCIENTIFIC INSTRUMENTS,Jeopardy!
"""UP"" & ""DOWN""",Jeopardy!
FAMOUS PROFESSORS,Double Jeopardy!
OBSCURE OPERA & BALLET,Double Jeopardy!
THE CIVIL RIGHTS MOVEMENT,Final Jeopardy!
FILM CHARACTERS,Jeopardy!
CONSUMER PRODUCTS,Jeopardy!
HURRICANE NAMES,Jeopardy!
"THE LUCK OF THE ""IRISH""",Jeopardy!
NAME THE PARENTS,Double Jeopardy!
CROATIAN POTPOURRI,Double Jeopardy!
CINDERELLA STORIES,Double Jeopardy!
IRISH-BORN AUTHORS,Final Jeopardy!
MUSIC THE KIDS LOVE,Jeopardy!
THE WONDER YEARS,Jeopardy!
SAVAGE CREATURES,Jeopardy!
WIT,Jeopardy!
JANE AUSTEN,Double Jeopardy!
HAVE A HEART,Double Jeopardy!
GROWING UP ON FILM,Double Jeopardy!
CRY ME A RIVER,Double Jeopardy!
"""KID"" STUFF",Double Jeopardy!
ARABIAN NIGHTS,Jeopardy!
GET THE VIBE,Jeopardy!
THE UMPIRE STRIKES BACK,Jeopardy!
RETURN OF THE GETTY,Jeopardy!
HENRY FORD,Double Jeopardy!
VOYAGERS,Double Jeopardy!
SEVEN,Double Jeopardy!
SO FUNNY IT'S SCARY,Double Jeopardy!
20 YEARS FROM NOW,Double Jeopardy!
A POTENT POTABLE TOUR,Jeopardy!
SPORTS ILLUSTRATED SPORTSMAN OF THE YEAR,Jeopardy!
"OH, SHAW!",Jeopardy!
HYBRID POODLES,Jeopardy!
MARCUS,Jeopardy!
"WELL, ""B""!",Jeopardy!
"IN THE BO-""D""",Double Jeopardy!
HERE COMES THE NEIGHBORHOOD,Double Jeopardy!
EDIBLE COMMON BONDS,Double Jeopardy!
LOOK OUT FOR PIRATES!,Double Jeopardy!
FROM E TO SHINING E,Double Jeopardy!
THE 2002 WINTER OLYMPICS,Jeopardy!
CONSTITUTIONAL POWERS OF CONGRESS,Jeopardy!
JOANIE LOVES KARACHI,Jeopardy!
"ENDS IN ""O""",Jeopardy!
NOTED AFRICAN AMERICANS,Double Jeopardy!
GARDEN TALK,Double Jeopardy!
MATHEMATICIANS,Double Jeopardy!
NEW YORK CITY LANDMARKS,Final Jeopardy!
10 CDs FOR A PENNY,Jeopardy!
"FADE TO ""BLACK""",Jeopardy!
IF THE SHOE FITS,Jeopardy!
GAME SHOWS,Double Jeopardy!
FLAGS OF THE WORLD,Double Jeopardy!
JOHN,Double Jeopardy!
ANIMAL WORDS,Double Jeopardy!
RECURRENCES,Jeopardy!
HUSBAND & WIFE SINGERS,Double Jeopardy!
LYNDON JOHNSON,Jeopardy!
MOVIE TIMES,Jeopardy!
"LITERARY CROSSWORD CLUES ""P""",Jeopardy!
COURSE CORRECTION,Jeopardy!
STUFF FOR YOUR COMPUTER?,Jeopardy!
"SHAPE, PLEASE",Double Jeopardy!
STYX,Double Jeopardy!
"""STONE""S",Double Jeopardy!
UP IN SMOKE,Jeopardy!
AND THE AWARD GOES TO...,Jeopardy!
"FILE UNDER ""P""",Jeopardy!
KISS YOUR LASS GOODBYE,Jeopardy!
WALL STREET,Double Jeopardy!
C'EST PARIS,Double Jeopardy!
JUMBO JOCKS,Double Jeopardy!
"""ODD""PODGE",Double Jeopardy!
THE ROLES OF TOM CRUISE,Jeopardy!
MARTIAL ARTS,Jeopardy!
COVERINGS,Jeopardy!
"A VISIT TO THE ""E.R.""",Jeopardy!
OLD AMERICAN HISTORY,Double Jeopardy!
THE GRAMMYS,Double Jeopardy!
THE HENRY WHO...,Double Jeopardy!
A ROUND OF GULF,Double Jeopardy!
"""PAR"" FOR THE COURSE",Double Jeopardy!
BUSINESS FIRSTS,Final Jeopardy!
AESOP'S FABLES,Jeopardy!
SPORTS STARS' MEMOIRS & BIOS,Jeopardy!
FOREIGN MAYORS,Jeopardy!
"HERE'S A ""QUARTER""",Jeopardy!
CALL SOMEONE WHO CARES,Jeopardy!
"A ""LITTLE"" READING",Double Jeopardy!
YOU GOTTA REPRESENT,Double Jeopardy!
THE CURRENT SUPREME COURT JUSTICE WHO,Double Jeopardy!
HORSE SMARTS,Double Jeopardy!
JOHN HANCOCK,Jeopardy!
LET'S GO BOWLING,Jeopardy!
GIRL SCOUTING,Jeopardy!
ALL-AMERICAN FOOD,Jeopardy!
"FILE UNDER ""D""",Jeopardy!
"OH, MY ACHING BACK!",Double Jeopardy!
TO THE NINES,Double Jeopardy!
COUNTRIES BY CITY,Double Jeopardy!
_____&____,Double Jeopardy!
FAMILIAL SONG TITLES,Jeopardy!
RED ALERT!,Jeopardy!
PRESIDENTIAL CAMPAIGNS,Jeopardy!
BUMPER STICKERS?,Jeopardy!
RUSSIAN CULTURE,Double Jeopardy!
CHILDREN IN LITERATURE,Double Jeopardy!
POTENTATE POTABLES,Double Jeopardy!
"ENTER & DESIGN IN, PLEASE",Double Jeopardy!
"""RE""RUNS",Double Jeopardy!
POPULATIONS,Final Jeopardy!
CANTANTES,Jeopardy!
ANCIENT COUNTRIES,Double Jeopardy!
VEGAS MOVIES,Double Jeopardy!
U.S. STATES' LARGEST ISLANDS,Jeopardy!
MOVIE SPOILERS,Jeopardy!
THE AUTHOR TWITTERS,Jeopardy!
APPLE SAUCE,Jeopardy!
BALLET DANCERS,Double Jeopardy!
THAT'S FOUL!,Double Jeopardy!
"""E"" IN SCIENCE",Double Jeopardy!
WHAT'S NEXT ON THE LIST?,Double Jeopardy!
THE '70s,Double Jeopardy!
CHANGE A LETTER,Double Jeopardy!
GUITAR HERO,Jeopardy!
GRAND THEFT AUTO,Jeopardy!
WORLD OF WARCRAFT,Jeopardy!
ROCK BAND,Jeopardy!
HALF-LIFE,Jeopardy!
JOHNNY'S CLASSIC TV THEME SONGS,Double Jeopardy!
"ODE ON A GRECIAN, EARNED",Double Jeopardy!
WATERY TERMS,Double Jeopardy!
CELEBRITY MARRIAGES,Final Jeopardy!
READ AMERICAN,Jeopardy!
GOOD BEEKEEPING,Jeopardy!
BIBLICAL NAME'S THE SAME,Jeopardy!
CLUES PAST THEIR FRESHNESS DATE,Jeopardy!
"FROM ""A"" TO ""E""",Jeopardy!
INDIAN GEOGRAPHY,Double Jeopardy!
CANADIAN SPORTSMEN,Double Jeopardy!
VENEZUELAN HISTORY,Double Jeopardy!
FRENCH FOOD,Double Jeopardy!
FAMOUS NIGERIANS,Double Jeopardy!
"ONE ""PLANET""",Double Jeopardy!
3-LETTER BANDS,Jeopardy!
SO YOU'VE JOINED THE NAVY,Jeopardy!
"TAKING A ""BATH""",Jeopardy!
CHEM LAB,Double Jeopardy!
HISTORIC JOHNS,Double Jeopardy!
MEMORABLE MADAMES,Double Jeopardy!
PRESIDENTIAL ELECTIONS,Jeopardy!
CELEBRITY CEREAL,Jeopardy!
AMERICAN WORLD CAPTIALS,Jeopardy!
LONG A-GO,Jeopardy!
DON'T BUG ME,Jeopardy!
"COOL ""AID""",Jeopardy!
"""T""s ME",Double Jeopardy!
NOW THAT'S ITALIAN,Double Jeopardy!
HIRSCHFELD,Double Jeopardy!
LADY'S NIGHT,Double Jeopardy!
AMERICAN REVOLUTIONARIES,Jeopardy!
TV's PRETTY FACES,Jeopardy!
THE HUNCHBACK OF NOTRE DAME,Jeopardy!
LI'L BOW WOW,Jeopardy!
LET A SMILE BE YOUR UMBRIA,Jeopardy!
STRAIN THY BRAIN,Jeopardy!
I'VE GOT A LITTLE LISZT,Double Jeopardy!
BOBBING FOR BOBS,Double Jeopardy!
AMERICAN FOOD AND DRINK,Jeopardy!
'70s MOVIES,Jeopardy!
"WHAT'S ""UP"" DOC",Jeopardy!
ANCIENT SCIENCE,Double Jeopardy!
BRITISH TRIVIA,Double Jeopardy!
ENERGY,Final Jeopardy!
WORLD POLITICS,Jeopardy!
TV FOR SHORT,Jeopardy!
DANGEROUS PLANET,Jeopardy!
ON THE RESTAURANT'S FAST FOOD MENU,Jeopardy!
YOUNG MR. PRESIDENT,Jeopardy!
"A ""HA""!",Jeopardy!
FUNNY FOLKS,Double Jeopardy!
REALLY OLD BOOKS,Double Jeopardy!
"THIS ""LAND"" IS MY LAND",Double Jeopardy!
NUMBERS & LETTERS,Final Jeopardy!
FILM & TV SPACESHIPS,Jeopardy!
WHAT'S IN YOUR FOOD?,Jeopardy!
"""B"" WRITERS",Jeopardy!
THE POSSESSIVE CASE,Jeopardy!
THE 10 LARGEST COUNTRIES IN THE WORLD,Double Jeopardy!
THE EUROVISION SONG CONTEST,Double Jeopardy!
GROUPS,Double Jeopardy!
COMPETITORS TO NASA,Double Jeopardy!
"""V"" FOR VICTORY",Double Jeopardy!
ON COLONIAL MAPS,Jeopardy!
NOT A BEST PICTURE OSCAR WINNER,Jeopardy!
NUTRITION,Jeopardy!
"""H-M""",Jeopardy!
WATCH THE BIRDIE!,Double Jeopardy!
EXECUTIVE JOHNS,Double Jeopardy!
"""AE""",Double Jeopardy!
'TWAS THE NIGHT BEFORE CHRISTMAS,Jeopardy!
BABY PICTURES,Jeopardy!
PRESIDENTIAL PUZZLES,Jeopardy!
SKI YOU LATER,Jeopardy!
ALTERED STATES,Jeopardy!
"BY GEORGE, IT'S GEORGE!",Double Jeopardy!
THE BARNES COLLECTION,Double Jeopardy!
"""GO"" FOR IT",Double Jeopardy!
SAVING THE BEST FOR LAST,Double Jeopardy!
WHERE'S THE FIRE?,Jeopardy!
"""BIO""LOGY",Jeopardy!
TV COMPOSERS,Double Jeopardy!
FAMOUS TEXANS,Jeopardy!
BENJAMIN FRANKLIN,Jeopardy!
"""L""s ON THE MAP",Jeopardy!
PLACE NAME ORIGINS,Double Jeopardy!
THE DECLARATION OF INDEPENDENCE,Final Jeopardy!
MUSICAL SETTINGS,Jeopardy!
"INSECT, ARACHNID OR GASTROPOD",Jeopardy!
"BOMB THE ""BAN""",Jeopardy!
WHAT'S NEW?,Jeopardy!
ARE YOU ADDRESSING ME?,Jeopardy!
WARTIME IMAGES,Double Jeopardy!
"AFI's 100 YEARS, 100 SONGS",Double Jeopardy!
LET'S VISIT AFRICA,Double Jeopardy!
PRESCRIPTION DRUGS,Double Jeopardy!
NUMBERS GAME,Double Jeopardy!
SINGERS ALSO KNOWN AS,Jeopardy!
BEASTLY BUSINESS,Jeopardy!
TERMINATOR OF ENDEARMENT,Jeopardy!
PLAYING THE PERCENTAGES,Jeopardy!
"""NYM"" DROPPER",Jeopardy!
LITERARY GREECE,Double Jeopardy!
ACADEMY AWARD-WINNING ACTORS,Double Jeopardy!
"OSCAR, MEYER, WIENER",Double Jeopardy!
ALSO A PLANET,Double Jeopardy!
STARTING HERE,Jeopardy!
HOLLYWOOD WALK OF FAME,Jeopardy!
NUTS!,Jeopardy!
"""TILE"" IT",Jeopardy!
"FRANCO, MY DEAR",Jeopardy!
I DON'T GIVE A DAM,Jeopardy!
"THE ""GOOD"" BOOK",Double Jeopardy!
MUSICALS!,Double Jeopardy!
BIG APPLE SAUCE,Double Jeopardy!
THE ONE & ONLY,Double Jeopardy!
"""PO"" FOLKS",Jeopardy!
WHERE THEY'RE FROM,Jeopardy!
PAST TENSE,Jeopardy!
TIME TO RETIRE,Double Jeopardy!
FILL IN THE BLANK-ISTAN,Double Jeopardy!
"TEAM PLAYERS, HALL OF FAME EDITION",Double Jeopardy!
NEGATIVE SCIENCE,Double Jeopardy!
REMEMBER SEPTEMBER?,Jeopardy!
YOU AIN'T NOTHIN' BUT A HOUND DOG,Jeopardy!
UNLIKELY PRESIDENTIAL SIBLINGS,Jeopardy!
MY FEAR LADY,Double Jeopardy!
"BEST ""WESTERN""",Double Jeopardy!
LET'S SPICE IT UP A BIT,Double Jeopardy!
LITERARY EROTICA,Double Jeopardy!
BRITISH BODIES OF WATER,Jeopardy!
'60s CINEMA,Jeopardy!
RAKE,Jeopardy!
OVER THE COALS,Jeopardy!
OLYMPIC VENUES,Double Jeopardy!
CHEMICAL STATES,Double Jeopardy!
GREAT SCOTT!,Double Jeopardy!
SONGS IN THE CONCERT HALL,Double Jeopardy!
1970s TELEVISION,Final Jeopardy!
LONG LIVE THE KING!,Jeopardy!
CIRCUS CIRCUS,Jeopardy!
THINGS THAT EXPLODE,Jeopardy!
FUTURE CASINOS?,Jeopardy!
"""V"" WORDS",Jeopardy!
LONG LIVE THE KING!,Double Jeopardy!
VEGANS,Double Jeopardy!
THE COCKTAIL HOUR,Double Jeopardy!
THE SAHARA,Double Jeopardy!
NFL TEAM PLAYERS,Jeopardy!
3rd GRADERS KNOW THIS STUFF,Jeopardy!
STUCK IN THE MIDDLE,Jeopardy!
"WITH ""U""",Jeopardy!
HISTORICAL QUOTES,Double Jeopardy!
EXTREME TAKEOVER,Double Jeopardy!
PLAYS BY CHARACTER,Double Jeopardy!
"MARTIN LUTHER KING, JR.",Jeopardy!
AMERICA SINCE 1900,Jeopardy!
READINGS FROM HOMER SIMPSON,Jeopardy!
STATE NAMES,Double Jeopardy!
CHEETAHS,Double Jeopardy!
NEVER,Double Jeopardy!
PROSPERO,Double Jeopardy!
SIGMUND FREUD,Jeopardy!
YOU'VE GOT TO FIGHT,Jeopardy!
FOR YOUR RIGHT,Jeopardy!
TO PARTY!,Jeopardy!
THE WORLD SERIES,Double Jeopardy!
THE NORTHERNMOST NATIONAL CAPITAL,Double Jeopardy!
CORPORATE LOGOS,Double Jeopardy!
LAND ANIMALS,Double Jeopardy!
"""JOHN""s",Double Jeopardy!
MATH WORDS,Final Jeopardy!
THE QUOTABLE EINSTEIN,Jeopardy!
BILLBOARD'S TOP ARTISTS,Jeopardy!
ESTONIA,Jeopardy!
OLD LUNCH COUNTER LINGO,Jeopardy!
DOUBLE CONSONANTS,Jeopardy!
HERE'S ANDERSON COOPER,Jeopardy!
PICK A PART,Double Jeopardy!
NAME THAT ELEMENT,Double Jeopardy!
MEGA-EVENTS,Double Jeopardy!
"""STANDING"" ROOM ONLY",Double Jeopardy!
MEN OF PARIS,Final Jeopardy!
NORDIC TRACK,Jeopardy!
TV TITLE TWOSOMES,Jeopardy!
HOW CAN WE MISS YOU IF YOU NEVER LEAVE?,Jeopardy!
"I'M SO ""SHR""",Jeopardy!
THE NATIONAL WEATHER SERVICE,Jeopardy!
NORDIC TRACKS,Double Jeopardy!
SUBTITLES,Double Jeopardy!
FREEBIES,Double Jeopardy!
PAINTED LADIES,Double Jeopardy!
LET'S GET IN SHAPE,Double Jeopardy!
"SOME GOOD ""PR""",Double Jeopardy!
FOOD BRANDS,Final Jeopardy!
JUST ONE OF THE 2...,Jeopardy!
SYMBOLIC STOCKS,Jeopardy!
DIRECTIONAL DIVERSIONS,Jeopardy!
INITIALLY BEFORE & AFTER,Jeopardy!
NOW NAME THE OTHER...,Double Jeopardy!
"""C"" POTPOURRI",Double Jeopardy!
THE WILD & WOOLLY 1800s,Double Jeopardy!
JEFF,Double Jeopardy!
FIJI,Double Jeopardy!
LITERARY FIGURES,Final Jeopardy!
DESERT DWELLERS,Jeopardy!
PAUL McCARTNEY,Jeopardy!
TOTALLY 1680s!,Jeopardy!
ANAGRAMMED TEXAS CITIES,Jeopardy!
JIM CLASS,Jeopardy!
THROUGH THE LOOKING GLASS,Double Jeopardy!
ON ITS WESTERN BORDER,Double Jeopardy!
YOGA,Double Jeopardy!
MOVIE MICE,Double Jeopardy!
WORK IT!,Double Jeopardy!
EXPLORING,Final Jeopardy!
RAY CHARLES & FRIENDS,Jeopardy!
"ATTENTION, SPACE CADETS",Jeopardy!
T3: RISE OF THE CONSONANTS,Jeopardy!
THE FOUNTAINS OF EUROPE,Double Jeopardy!
ALIAS SMITH & JONES,Double Jeopardy!
BALLET ROLES,Double Jeopardy!
"ALL YOU NEED IS ""LAV""",Double Jeopardy!
IMPORTED TELEVISION,Double Jeopardy!
TRINIDAD,Jeopardy!
'70s FADS & FASHIONS,Jeopardy!
STANDUP COMICS,Jeopardy!
"""NUT""s TO YOU",Jeopardy!
MOVIE BIOGRAPHIES,Double Jeopardy!
ODD GODS,Double Jeopardy!
STATE ANAGRAMS,Double Jeopardy!
AROUND THE HORN,Double Jeopardy!
SOUTHERN NOVELISTS,Final Jeopardy!
THE CHRISTIAN WORLD,Jeopardy!
"DEAD, CONSCIOUS OR IN BETWEEN",Jeopardy!
SMART STUPID ANSWERS,Jeopardy!
AROUND LOS ANGELES,Jeopardy!
ON FOOT,Jeopardy!
SPORTS PEOPLE,Double Jeopardy!
SIEGES,Double Jeopardy!
OTHER ALPHABETS' LETTERS,Double Jeopardy!
TOP 40 LAST NAMES,Jeopardy!
NOODLE DISHES,Jeopardy!
WAR,Double Jeopardy!
PETER O'TOOLE TIME,Double Jeopardy!
DO YOU LIKE KIPLING?,Double Jeopardy!
"""B"" BOYS",Double Jeopardy!
5 SELLABLE WORDS,Double Jeopardy!
DAMN YANKEES,Jeopardy!
CAMEL LOT,Jeopardy!
I EAT A...,Jeopardy!
THE VIRGINIA MONOLOGUES,Jeopardy!
COMPOSE YOURSELF!,Double Jeopardy!
SHAKESPEARE'S COMIC CAST,Double Jeopardy!
THE BRASS,Double Jeopardy!
"""BI""-BYE",Double Jeopardy!
LITERARY TITLE ANIMALS,Jeopardy!
LUCILLE BALL'S 100th BIRTHDAY,Jeopardy!
FRUITS & NUTS,Jeopardy!
"""CHARM""ED, I'M SURE",Jeopardy!
"""HU""!",Double Jeopardy!
"GOOD GOD, Y'ALL",Double Jeopardy!
BIOGRAPHY SUBJECTS,Double Jeopardy!
NAME THE OSCAR-WINNING DIRECTOR,Double Jeopardy!
SPORTS SCIENCE,Double Jeopardy!
DUETS,Jeopardy!
WORD SMITHS,Jeopardy!
"WHATSITS, DOOHICKEYS, THINGAMABOBS",Jeopardy!
"""PIN"" ME",Jeopardy!
NOTORIOUS FACES,Double Jeopardy!
HEADQUARTER CITIES,Double Jeopardy!
I HOP,Jeopardy!
INTERNATIONAL,Jeopardy!
"""HOW""s",Jeopardy!
OF PAIN,Jeopardy!
CAKES,Jeopardy!
POP ON A CD,Double Jeopardy!
ONE THING OR ANOTHER,Double Jeopardy!
EVERYBODY HATES CHRIS,Double Jeopardy!
LET'S GO TO SURINAME,Double Jeopardy!
BEFORE & AFTER MATH,Double Jeopardy!
GREAT MOMENTS IN THE 20th CENTURY,Final Jeopardy!
FOREIGN FILMS,Jeopardy!
HAUTE CUISINE,Double Jeopardy!
ANCIENT GEOGRAPHY,Double Jeopardy!
ORCHESTRA CONDUCTORS,Double Jeopardy!
NAME THAT POET,Double Jeopardy!
COMEDIC CATCHPHRASES,Jeopardy!
"""I"" DO",Jeopardy!
WHAT A GEM!,Jeopardy!
THE WORLD AIDS CRISIS,Jeopardy!
NAME THAT POEM,Double Jeopardy!
IT'S CURTAINS FOR YOU,Double Jeopardy!
CIVIL WAR RHYME TIME,Double Jeopardy!
THE SMITHSONIAN JAZZ BAND,Double Jeopardy!
AND NOW FROM THE BRIEFING ROOM,Double Jeopardy!
MULTIPLE TONY WINNERS,Jeopardy!
"COUNTRIES THAT END IN ""IA""",Jeopardy!
PRECIOUS STONES,Jeopardy!
LET'S GET MEDICAL,Jeopardy!
JOHN RITTER,Double Jeopardy!
THE INTERNATIONAL SPY MUSEUM,Double Jeopardy!
WINNER OF OUR DISCONTENT,Double Jeopardy!
PICTURESQUE,Double Jeopardy!
PULITZER PRIZE WINNERS,Final Jeopardy!
AFRICAN LANDMARKS,Final Jeopardy!
BARBRA STREISAND,Jeopardy!
"THE ""WAY"" WE WERE",Jeopardy!
THE MAINE EVENT,Jeopardy!
"HELLO, DOLLY!",Jeopardy!
A CZAR IS BORN,Jeopardy!
PEOPLE WHO KNEAD PEOPLE,Jeopardy!
MAIDS IN GREEK MYTH,Double Jeopardy!
PHRASES REVERSED,Double Jeopardy!
A SPELLING CATEGORY,Jeopardy!
FRUIT BOWL,Jeopardy!
